"","site.code","session","site.accession","tree.accession","id","crowngroup","subplot","rep","species","count","max","min","height.diff","value_dirichlet","vert.density"
"939","DSUN","6","DSUN006","DSUN09194",13208,"2","9","DSUN006-9","BFF",7,16.7,13.8,2.9,78.639677184603,0.0306943414554209
"940","DSUN","6","DSUN006","DSUN10214",13228,"2","10","DSUN006-10","BFF",5,17.1,14.2,2.9,41.148758058097,0.04190012074241
"941","DSUN","6","DSUN006","DSUN10216",13229,"2","10","DSUN006-10","BFF",13,18.5,11.7,6.8,25.2760453526735,0.0756354358131479
"942","DSUN","6","DSUN006","DSUN10217",13230,"2","10","DSUN006-10","BFF",27,20.1,14,6.1,27.919418029683,0.158535880063506
"943","DSUN","6","DSUN006","DSUN10219",13232,"2","10","DSUN006-10","BFF",8,12.2,10.1,2.1,22.7067026217485,0.167770894479194
"944","DSUN","7","DSUN007","DSUN01001",15537,"2","1","DSUN007-1","BFF",2,11.8,8.8,3,40.1289211621035,0.0166131220915115
"945","DSUN","7","DSUN007","DSUN01004",15540,"2","1","DSUN007-1","BFF",34,20.2,13.2,7,70.0122488752625,0.0693756154840362
"946","DSUN","7","DSUN007","DSUN01007",15543,"2","1","DSUN007-1","BFF",86,15.9,9.8,6.1,16.060388014055,0.877834373827067
"947","DSUN","7","DSUN007","DSUN01020",15556,"2","1","DSUN007-1","BFF",42,31.8,19.3,12.5,26.2441718027305,0.128028425711282
"948","DSUN","7","DSUN007","DSUN02024",15560,"2","2","DSUN007-2","BFF",8,18.4,15.1,3.3,9.469100375,0.256016129118541
"949","DSUN","7","DSUN007","DSUN02025",15561,"2","2","DSUN007-2","BFF",75,27.3,12.7,14.6,27.914595100748,0.184025105247979
"950","DSUN","7","DSUN007","DSUN02038",15574,"2","2","DSUN007-2","BFF",14,22.4,16.9,5.5,14.243480802598,0.178710146819607
"951","DSUN","7","DSUN007","DSUN02044",15580,"2","2","DSUN007-2","BFF",38,22,12.6,9.4,28.436473145208,0.14216084993545
"952","DSUN","7","DSUN007","DSUN02045",15581,"2","2","DSUN007-2","BFF",62,21.3,12,9.3,25.156320337628,0.265009610992069
"953","DSUN","7","DSUN007","DSUN03052",15588,"3","3","DSUN007-3","BFF",7,16.7,12.2,4.5,9.0307499074805,0.172250983749094
"954","DSUN","7","DSUN007","DSUN03053",15589,"2","3","DSUN007-3","BFF",43,19.3,11.6,7.7,32.6195974129215,0.171198176167663
"955","DSUN","7","DSUN007","DSUN03061",15597,"2","3","DSUN007-3","BFF",4,21.3,18.5,2.8,19.168913606803,0.0745254247514805
"956","DSUN","7","DSUN007","DSUN03064",15600,"2","3","DSUN007-3","BFF",6,26.4,17.4,9,57.0402493772725,0.0116876534367379
"957","DSUN","7","DSUN007","DSUN04073",15609,"2","4","DSUN007-4","BFF",1,12.2,12.2,0,36.833072365364,NA
