"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"655","DRED001",5,0.596545102809458,-6.25210415246624e-17,0.00566544269865739,4.80290707318981,-5.46568141082732e-16,0.249568091702961,0,0,0,4.80290707318981,-7.08019416657286e-16,0.255233534401619,2.96814230196624e-18,8.15931455104142e-07,0,8.15931455086379e-07,0,0,0,0,0,0.0699,0,0.0736,0.0386891100735076,0.658081980206071,0,0.661747115007471
"656","DRED001",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657","DRED001",7,1.09696652492811,-1.40232481129049e-16,0.0391912784882318,0.566194543459848,-8.60874342421847e-17,0.035973100226409,0,0,0,1.66316106838796,-1.92034274368041e-16,0.0751643787146408,9.13041702241835e-09,1.55083281724983e-05,0,2.6541961870911e-05,0,0,0,0,8e-04,0.0176,0,0.0316,0.140989892287893,0.0843141168968568,0,0.215321155557248
"658","DRED001",8,2.51251083384716,7.6134069285441e-13,0.132453767190917,7.41079910835596,1.12693020946199e-12,0.586414276360644,0,0,0,7.41083450669053,1.96365841916662e-12,0.718868043551562,0.00354162118045736,0.0679449411840373,0,0.0922621095661579,0,0.0013,0,0.0022,0.1126,0.4558,0,0.8007,0.328188443576105,1.17584874250089,0,1.26048085723357
"659","DRED001",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660","DRED001",10,0,0,0,11.9534772038944,1.45278370454542e-07,0.933306382370041,0,0,0,11.9534772038944,1.45278370454542e-07,0.933306382370041,0,0.0874057038002988,0,0.0874057038002988,0,0.0018,0,0.0018,0,0.8703,0,0.8703,0,1.92968891986717,0,1.92968891986717
"661","DRED002",1,0,0,0,10.6468808073848,7.40596305956692e-13,1.31090910846033,0.594398705905391,-7.6971791983784e-17,0.0214324857784302,10.6468808074396,7.40465311009918e-13,1.33234159423876,0,0.527657199649873,1.10096554723939e-11,0.533211423953758,0,0.0354,0,0.0355,0,1.9362,1e-04,1.9529,0,1.7902190265846,0.0799427887528621,1.81639953952317
"662","DRED002",2,0,0,0,20.3579560618743,5.81005318439387e-07,1.15346940190204,0,0,0,20.3579560618743,5.81005318439387e-07,1.15346940190204,0,0.245249567393959,0,0.245249567393959,0,0.0458,0,0.0458,0,1.1491,0,1.1491,0,2.20766984628451,0,2.20766984628451
"663","DRED002",3,0,0,0,17.1967008811691,4.8653501854443e-07,0.67040624708342,0,0,0,17.1967008811691,4.8653501854443e-07,0.67040624708342,0,0.285550718443934,0,0.285550718443934,0,0.0495,0,0.0495,0,0.7668,0,0.7668,0,1.18644044688922,0,1.18644044688922
"664","DRED002",4,0,0,0,5.34063163252139,5.45979187306972e-08,0.413933053357135,0,0,0,5.34063163252139,5.45979187306972e-08,0.413933053357135,0,0.183392276883492,0,0.183392276883492,0,0.0462,0,0.0462,0,0.4771,0,0.4771,0,0.695877619782761,0,0.695877619782761
"665","DRED002",5,0,0,0,7.31834561875013,-5.52677448293008e-16,0.237108245312546,0,0,0,7.31834561875013,-5.52677448293008e-16,0.237108245312546,0,3.5724904673536e-07,0,3.5724904673536e-07,0,0,0,0,0,0.0238,0,0.0238,0,0.840064272445227,0,0.840064272445227
"666","DRED002",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667","DRED002",7,0,0,0,2.59041947971921,-3.5678147700327e-16,0.186842677950209,0,0,0,2.59041947971921,-3.5678147700327e-16,0.186842677950209,0,0.000303618499262171,0,0.000303618499262171,0,0,0,0,0,0.1389,0,0.1389,0,0.407591232391454,0,0.407591232391454
"668","DRED002",8,0,0,0,15.006803327983,8.37330492432743e-13,1.12575272614204,0,0,0,15.006803327983,8.37330492432743e-13,1.12575272614204,0,0.140570577875616,0,0.140570577875616,0,0.0021,0,0.0021,0,1.0826,0,1.0826,0,2.33494127198837,0,2.33494127198837
"669","DRED002",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670","DRED002",10,0,0,0,5.94806268718315,3.94803396112249e-09,0.64194816710992,0,0,0,5.94806268718315,3.94803396112249e-09,0.64194816710992,0,0.128795378077518,0,0.128795378077518,0,0.0014,0,0.0014,0,0.7635,0,0.7635,0,1.10729056915482,0,1.10729056915482
"671","DRED003",1,0,0,0,2.51128768442313,1.74291063338123e-13,0.165816852940642,0.229536148452305,-2.86492331824235e-17,0.0151062819339044,2.51131915781294,1.74331760649344e-13,0.180923134874547,0,0.0116901326219586,7.53804167022654e-07,0.0162932892318375,0,2e-04,0,3e-04,0,0.1534,0.0021,0.215,0,0.351635255056915,0.0421386049920715,0.353058923135672
"672","DRED003",2,0,0,0,4.79580168323342,2.15421692063687e-07,0.211698979516031,0.289588497535154,-1.96938467461453e-17,0.00757761958077527,4.79580168323342,2.15421691961347e-07,0.219276599096806,0,0.0632453616205268,1.28776297686795e-13,0.0664550528835611,0,0.0067,0,0.0076,0,0.2392,0,0.2493,0,0.41155124304595,0.0336521262456185,0.415366796699476
"673","DRED003",3,0,0,0,8.08454054690984,1.45742105134413e-07,0.233553746013652,0,0,0,8.08454054690984,1.45742105134413e-07,0.233553746013652,0,0.0521557200407559,0,0.0521557200407559,0,0.0063,0,0.0063,0,0.1959,0,0.1959,0,0.545337406813681,0,0.545337406813681
"674","DRED003",4,0,0,0,0.566116451166569,5.11615630195264e-16,0.0504435350278967,0,0,0,0.566116451166569,5.11615630195264e-16,0.0504435350278967,0,0.0035639298485353,0,0.0035639298485353,0,0,0,0,0,0.0505,0,0.0505,0,0.0976295146512402,0,0.0976295146512402
"675","DRED003",5,0,0,0,4.55257426015057,-5.52677448293008e-16,0.149817123761027,0,0,0,4.55257426015057,-5.52677448293008e-16,0.149817123761027,0,5.10923526121208e-09,0,5.10923526121208e-09,0,0,0,0,0,0.0066,0,0.0066,0,0.538914340327187,0,0.538914340327187
"676","DRED003",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677","DRED003",7,0,0,0,1.09698414661053,-1.21345987700988e-16,0.0470235034987193,0,0,0,1.09698414661053,-1.21345987700988e-16,0.0470235034987193,0,4.98566171459209e-07,0,4.98566171459209e-07,0,0,0,0,0,0.0084,0,0.0084,0,0.142920853365114,0,0.142920853365114
"678","DRED003",8,0,0,0,1.19472073767487,-1.20641241867128e-16,0.0570307616768136,0.21689959672783,-3.41097184062682e-17,0.00795022272658218,1.22880710556369,-1.05864784498281e-16,0.0649809844033958,0,9.43885042705116e-05,4.36745709112771e-10,0.000110596398030537,0,0,0,0,0,0.0178,0,0.0212,0,0.168527710382658,0.0288252944640408,0.183298215218416
"679","DRED003",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"680","DRED003",10,0,0,0,2.24628717819916,-2.52812753079244e-16,0.138888785006366,0.335183703024341,-3.41096591629134e-17,0.007196941156067,2.55122598798474,-3.78491519470961e-16,0.146085726162433,0,7.1852933764916e-05,9.87757554254204e-13,7.18530262658941e-05,0,0,0,0,0,0.0467,0,0.0473,0,0.354798793085657,0.033880886237728,0.38269438216669
"681","DRED004",1,0,0,0,0.588688896943593,-7.56388067144066e-17,0.0358176214405082,2.65586454716619,-1.35327577738764e-16,0.155420278779387,2.8964039539356,-2.01856887988158e-16,0.191237900219895,0,2.0210731751744e-06,0.00204543417218988,0.00243528385724467,0,0,0,0,0,0.0097,0.1075,0.132,0,0.0904170270760824,0.378176661870051,0.440806279756951
"682","DRED004",2,0,0,0,4.8343626481388,3.15547125139226e-09,0.292506357877833,2.11592340720747,-1.60966799797212e-16,0.0947927897849144,6.95028605534627,3.15547138238721e-09,0.387299147662748,0,0.0683866095810996,8.50421395139083e-05,0.0805831344656367,0,0.006,0,0.0074,0,0.3161,0.0334,0.4034,0,0.528899376976595,0.234489307478095,0.711429489958583
"683","DRED004",3,0,0,0,8.08735941986217,1.29935480350736e-06,0.389224143403747,0,0,0,8.08735941986217,1.29935480350736e-06,0.389224143403747,0,0.166077526882693,0,0.166077526882693,0,0.0418,0,0.0418,0,0.4333,0,0.4333,0,0.620727612826503,0,0.620727612826503
"684","DRED004",4,0,0,0,2.51254755714103,3.91251641067054e-16,0.164617766605074,0,0,0,2.51254755714103,3.91251641067054e-16,0.164617766605074,0,0.0354351894432255,0,0.0354351894432255,0,3e-04,0,3e-04,0,0.1886,0,0.1886,0,0.331630186613025,0,0.331630186613025
"685","DRED004",5,0,0,0,2.35371806063285,-2.80429334550771e-16,0.0541311903931482,0,0,0,2.35371806063285,-2.80429334550771e-16,0.0541311903931482,0,2.30078888886698e-09,0,2.30078888886698e-09,0,0,0,0,0,0.001,0,0.001,0,0.211665176737612,0,0.211665176737612
"686","DRED004",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687","DRED004",7,0,0,0,2.10956976909781,-1.40361301689667e-16,0.140276587880636,0,0,0,2.10956976909781,-1.40361301689667e-16,0.140276587880636,0,0.000192383593996349,0,0.000192383593996349,0,0,0,0,0,0.1199,0,0.1199,0,0.283075498265061,0,0.283075498265061
"688","DRED004",8,0,0,0,1.17122553597564,-2.30151256048456e-16,0.0566327967879095,0.212206964973796,-2.16758708856447e-17,0.00750412003709956,1.17122559062235,-1.40802410580375e-16,0.064136916825009,0,1.81879822844589e-05,1.04342736915557e-07,0.000683413293008743,0,0,0,0,0,0.012,2e-04,0.044,0,0.163377220394482,0.0271961586469559,0.16317664065124
"689","DRED004",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"690","DRED004",10,0,0,0,1.78501494108687,-3.79219130331195e-16,0.143137640739809,0.403274560365234,-6.82303690972798e-17,0.0139234969384184,2.04515858734015,-3.79219129795973e-16,0.157061137678227,0,0.000100949278464977,7.98366819715207e-11,0.000100951521302687,0,0,0,0,0,0.0728,1e-04,0.0759,0,0.324577554720323,0.0480534384923307,0.361366536633897
"691","DRED005",1,0,0,0,2.5112479585261,-1.60161790391981e-16,0.17857232982786,0.56588435265492,-4.7258053239568e-17,0.0200047667469038,2.51133188723716,-1.43539536266772e-16,0.198577096574764,0,0.0161398276260478,4.37275365907572e-07,0.0177030109475432,0,2e-04,0,2e-04,0,0.1812,5e-04,0.2032,0,0.355789640307508,0.0725204473273617,0.374902177483149
"692","DRED005",2,0.398732138661572,-5.31256533203907e-17,0.00608225736482213,4.84700765375259,1.89629355834126e-09,0.334432508157461,0.398732138661572,-5.31256533203907e-17,0.00608225736482213,4.84700765375259,2.06616475968562e-09,0.346597022887105,9.15053362966475e-14,0.0836694490799404,9.15053362966475e-14,0.0874316715749996,0,0.0077,0,0.0078,0,0.4121,0,0.439,0.0322374336293602,0.566471701287266,0.0322374336293602,0.574432092963658
"693","DRED005",3,0,0,0,8.08735941986216,2.81374709334485e-07,0.288828580793098,0,0,0,8.08735941986216,2.81374709334485e-07,0.288828580793098,0,0.078676154816475,0,0.078676154816475,0,0.0098,0,0.0098,0,0.3162,0,0.3162,0,0.577158586658238,0,0.577158586658238
"694","DRED005",4,0,0,0,2.511229725135,6.03949560156813e-16,0.147894543433928,0,0,0,2.511229725135,6.03949560156813e-16,0.147894543433928,0,0.0324755133964514,0,0.0324755133964514,0,0.0012,0,0.0012,0,0.1496,0,0.1496,0,0.323089769038406,0,0.323089769038406
"695","DRED005",5,0,0,0,4.16899286034231,-4.71565904972893e-16,0.146599646449085,0,0,0,4.16899286034231,-4.71565904972893e-16,0.146599646449085,0,7.87713374501023e-09,0,7.87713374501023e-09,0,0,0,0,0,0.0078,0,0.0078,0,0.5226203928971,0,0.5226203928971
"696","DRED005",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"697","DRED005",7,0,0,0,1.1764935664532,-1.26686784311098e-16,0.0840358132819222,0,0,0,1.1764935664532,-1.26686784311098e-16,0.0840358132819222,0,0.00014821486736001,0,0.00014821486736001,0,0,0,0,0,0.0665,0,0.0665,0,0.18356891941936,0,0.18356891941936
"698","DRED005",8,0,0,0,1.0969753138061,7.61298624537136e-13,0.120249992370846,0,0,0,1.0969753138061,7.61298624537136e-13,0.120249992370846,0,0.0330355422044418,0,0.0330355422044418,0,9e-04,0,9e-04,0,0.1573,0,0.1573,0,0.186557043696679,0,0.186557043696679
"699","DRED005",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"700","DRED005",10,0,0,0,1.2268513730186,5.33885749667249e-11,0.0528006605256883,2.80657740445593,-3.31823122092031e-16,0.146026396477863,3.11608834795646,5.33887114053616e-11,0.198827057003551,0,0.00186225487555354,2.34205045129416e-07,0.00448360052416922,0,0,0,1e-04,0,0.0404,0.0059,0.0972,0,0.125971327750002,0.446937554069241,0.520539272511631
"701","DRED006",1,0,0,0,2.51141880888159,1.7451597104398e-13,0.191716071610683,5.34614590425285,-4.64119367969267e-16,0.283901641815689,6.4570985396609,1.74673574339318e-13,0.475617713426372,0,0.0350559745226141,2.33333604876699e-05,0.0664094257455095,0,0.0012,0,0.0021,0,0.2143,0.0444,0.495,0,0.356444137160969,0.762153834758467,0.924671157622905
"702","DRED006",2,0,0,0,10.2506746041764,1.811357687492e-09,0.291876727692853,70.9809708539931,3.17185626307847e-09,2.92032555319488,71.4329380257825,6.08934076399141e-06,3.21220228088774,0,0.0477368484715506,1.02459888311877,1.320078206007,0,0.0029,0.173,0.4002,0,0.2516,2.82,3.1662,0,0.823266306279395,6.38199158878985,6.43759369451669
"703","DRED006",3,0,0,0,17.1967008530566,6.08744922972716e-07,0.469167330807291,0,0,0,17.1967008530566,6.08744922972716e-07,0.469167330807291,0,0.103751351486172,0,0.103751351486172,0,0.0133,0,0.0133,0,0.4364,0,0.4364,0,1.07510944133305,0,1.07510944133305
"704","DRED006",4,0,0,0,2.511118927813,-8.40228937823847e-17,0.102403669521552,0,0,0,2.511118927813,-8.40228937823847e-17,0.102403669521552,0,0.000715002366875387,0,0.000715002366875387,0,0,0,0,0,0.028,0,0.028,0,0.322163954416314,0,0.322163954416314
"705","DRED006",5,0,0,0,2.23188149283265,-2.73664159682012e-16,0.134683624745161,1.4970074597654,-1.71210875936603e-16,0.0678450816832994,2.95461398359736,-3.68390486141311e-16,0.202528706428461,0,5.08909373091361e-08,3.88536886158784e-07,3.36474742660728e-06,0,0,0,0,0,0.0204,0.0139,0.1119,0,0.342954169353969,0.19365191939345,0.447286801595531
"706","DRED006",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"707","DRED006",7,0,0,0,2.52172611487472,-3.58856627258462e-16,0.146424182874289,0,0,0,2.52172611487472,-3.58856627258462e-16,0.146424182874289,0,2.50369161809373e-05,0,2.50369161809373e-05,0,0,0,0,0,0.0729,0,0.0729,0,0.36418205255437,0,0.36418205255437
"708","DRED006",8,0,0,0,2.12744094435465,-3.5252378865777e-16,0.0996456026088355,0,0,0,2.12744094435465,-3.5252378865777e-16,0.0996456026088355,0,3.5967338842436e-06,0,3.5967338842436e-06,0,0,0,0,0,0.0149,0,0.0149,0,0.306425595394376,0,0.306425595394376
"709","DRED006",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
