,site.code,session,site.accession,date,year,month,day,person,roost.area,roost.perimeter,pop.estimate.BFF,index.abundance,pop.estimate.GHFF,pop.estimate.LRFF,pop.estimate.total,pop.method
85,DLIS,10,DLIS010,25/05/2019,2019,5,25,Remy Brooks,9783.64,750.84,NA,7,NA,NA,NA,estimate
86,DRED,10,DRED010,28/05/2019,2019,5,28,Remy Brooks,13443.39,597.84,NA,2,NA,NA,2340,council
87,DSUN,10,DSUN010,27/05/2019,2019,5,27,Remy Brooks,4075.82,283.26,NA,2,NA,0,881,direct
88,DTOW,10,DTOW010,29/05/2019,2019,5,29,Remy Brooks,10633.48,540.92,NA,3,NA,NA,4781,direct
89,DAVO,11,DAVO011,18/06/2019,2019,6,18,Remy Brooks,7150.91,412.47,NA,2,NA,NA,1239,direct
90,DBUR,11,DBUR011,19/06/2019,2019,6,19,Remy Brooks,1312.83,137.01,160,1,0,0,160,direct
91,DCAN,11,DCAN011,19/06/2019,2019,6,19,Remy Brooks,0,0,0,0,0,0,0,direct
92,DCLU,11,DCLU011,22/06/2019,2019,6,22,Remy Brooks,11271.55,521.93,NA,4,NA,0,5364,direct
93,DLIS,11,DLIS011,21/06/2019,2019,6,21,Remy Brooks,28263.95,1258.31,NA,6,NA,NA,NA,NA
94,DRED,11,DRED011,17/06/2019,2019,6,17,Remy Brooks,13130.67,633.84,NA,3,NA,NA,3892,direct
95,DSUN,11,DSUN011,18/06/2019,2019,6,18,Remy Brooks,2542.02,270.65,NA,2,NA,0,2046,direct
96,DTOW,11,DTOW011,20/06/2019,2019,6,20,Remy Brooks,16101.21,616.98,NA,4,NA,NA,6003,direct
97,DAVO,12,DAVO012,23/07/2019,2019,7,23,Remy Brooks,1322.65,158.57,NA,2,NA,NA,1392,direct
98,DBUR,12,DBUR012,21/07/2019,2019,7,21,Remy Brooks,2120.66,264.43,420,1,0,0,420,direct
99,DCAN,12,DCAN012,21/07/2019,2019,7,21,Remy Brooks,0,0,0,0,0,0,0,direct
100,DCLU,12,DCLU012,19/07/2019,2019,7,19,Remy Brooks,12304.77,546.08,NA,3,NA,0,4573,direct
101,DLIS,12,DLIS012,20/07/2019,2019,7,20,Remy Brooks,30007.57,1473.91,NA,6,NA,NA,NA,estimate
102,DRED,12,DRED012,22/07/2019,2019,7,22,Remy Brooks,12855.11,682.8,NA,3,NA,NA,3992,direct
103,DSUN,12,DSUN012,23/07/2019,2019,7,23,Remy Brooks,3111.44,290.67,NA,2,NA,0,2182,direct
104,DTOW,12,DTOW012,24/07/2019,2019,7,24,Remy Brooks,12489.76,557.69,NA,4,NA,NA,5641,direct
105,DAVO,13,DAVO013,13/08/2019,2019,8,13,Remy Brooks,4400.66,379.08,NA,2,NA,NA,1104,direct
106,DBUR,13,DBUR013,15/08/2019,2019,8,15,Remy Brooks,2357.26,260.96,406,1,0,0,406,direct
107,DCAN,13,DCAN013,15/08/2019,2019,8,15,Remy Brooks,0,0,0,0,0,0,0,direct
108,DCLU,13,DCLU013,14/08/2019,2019,8,14,Remy Brooks,14058.29,553.47,NA,3,NA,0,3982,direct
109,DLIS,13,DLIS013,16/08/2019,2019,8,16,Remy Brooks,27467.41,1106,NA,6,NA,NA,NA,estimate
110,DRED,13,DRED013,19/08/2019,2019,8,19,Remy Brooks,14586.31,638.31,NA,3,NA,NA,4201,direct
111,DSUN,13,DSUN013,13/08/2019,2019,8,13,Remy Brooks,5093.87,361.71,NA,2,NA,0,1984,direct
112,DTOW,13,DTOW013,12/08/2019,2019,8,12,Remy Brooks,5529.94,349.6,NA,4,NA,NA,5003,direct
