"","site.accession","subplot","GHFF_max_v","GHFF_min_v","GHFF_mean_v","BFF_max_v","BFF_min_v","BFF_mean_v","LRFF_max_v","LRFF_min_v","LRFF_mean_v","all_max_v","all_min_v","all_mean_v","GHFF_median_v","BFF_median_v","LRFF_median_v","all_median_v","GHFF_Liqr_v","BFF_Liqr_v","LRFF_Liqr_v","all_Liqr_v","GHFF_Uiqr_v","BFF_Uiqr_v","LRFF_Uiqr_v","all_Uiqr_v","GHFF_sd_v","BFF_sd_v","LRFF_sd_v","all_sd_v"
"932","DTOW003",2,2.99104013133118,0.100024708376116,0.945340797850946,5.06567771386404,0.100088357809865,0.887697241825517,0,0,0,5.06568780936461,0.10003698267386,1.32015551738748,0.658480489361087,0.539195297201089,0,1.05661523130645,0.2771,0.2486,0,0.3776,1.4558,1.1358,0,2.0973,0.798944891117934,0.915463043733831,0,1.05259806248656
"933","DTOW003",3,4.71833030869276,0.100036175855824,0.710826515675927,2.53581839528585,0.100116316640702,0.733658444448112,0,0,0,5.11706244745019,0.100036628973306,0.760948616655349,0.420594800384755,0.468222546096339,0,0.482924197291337,0.2097,0.1846,0,0.2026,0.8574,1.2002,0,1.0808,0.794114210114145,0.640399944224402,0,0.748253593488248
"934","DTOW003",4,0.588670756070358,0.100130613531427,0.23644622705382,0.573065326693857,0.100104382116168,0.234774168257284,0,0,0,1.16094307396206,0.100133099897168,0.320897125103204,0.202077173187874,0.187175588777699,0,0.206896291942675,0.1447,0.1371,0,0.1468,0.2896,0.307,0,0.399,0.119995333300118,0.125885242168156,0,0.256015383613396
"935","DTOW003",5,0,0,0,10.6617727044679,0.100239604613374,1.74163869080777,0,0,0,10.6617727044679,0.100239604613374,1.74163869080777,0,0.718286977797733,0,0.718286977797733,0,0.282,0,0.282,0,2.0302,0,2.0302,0,2.35610145721916,0,2.35610145721916
"936","DTOW003",6,0,0,0,7.2879726216797,0.10000386269267,1.04617130634111,0,0,0,7.2879726216797,0.10000386269267,1.04617130634111,0,0.602634104726181,0,0.602634104726181,0,0.2669,0,0.2669,0,1.2472,0,1.2472,0,1.23001616427035,0,1.23001616427035
"937","DTOW003",7,0,0,0,4.2102573033844,0.100092737285634,0.703962974821877,0,0,0,4.2102573033844,0.100092737285634,0.703962974821877,0,0.45543586075596,0,0.45543586075596,0,0.2269,0,0.2269,0,0.9122,0,0.9122,0,0.701044001087366,0,0.701044001087366
"938","DTOW003",8,0,0,0,10.0421915104564,0.100254508195108,1.19047385203377,0,0,0,10.0421915104564,0.100254508195108,1.19047385203377,0,0.614931095670173,0,0.614931095670173,0,0.2455,0,0.2455,0,1.5668,0,1.5668,0,1.48683779602453,0,1.48683779602453
"939","DTOW003",9,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0.491746759894673,0,0.491746759894673,0,0.2197,0,0.2197,0,1.1028,0,1.1028,0,0.644159300813926,0,0.644159300813926
"940","DTOW003",10,0,0,0,4.71920791108693,0.100002042724683,0.860508819163741,0,0,0,4.71920791108693,0.100002042724683,0.860508819163741,0,0.521125452894601,0,0.521125452894601,0,0.2462,0,0.2462,0,1.1793,0,1.1793,0,0.863636791101696,0,0.863636791101696
"941","DTOW004",1,0.925297053262895,0.10045898639237,0.366407905876763,1.75142121159354,0.100041263087644,0.524555604373135,0,0,0,2.08537295617172,0.100050034068859,0.63585802691184,0.298254906820501,0.382677015154726,0,0.438362528151585,0.1724,0.1782,0,0.1861,0.5245,0.8076,0,0.982,0.228114239707799,0.405850773399668,0,0.528463338019636
"942","DTOW004",2,4.99386162857966,0.100088312994299,0.838050822214591,2.06011605718688,0.100002351013932,0.353046418166875,0,0,0,4.99386307000502,0.100060655846197,0.828984868309688,0.541935524828396,0.192140201120913,0,0.532410978893068,0.2737,0.1434,0,0.2628,1.2009,0.3552,0,1.1904,0.770855931715243,0.383424153006297,0,0.772646724783379
"943","DTOW004",3,2.06011605024866,0.100214883069532,0.307677640662449,2.61429640137114,0.10019258150999,0.842546970328494,0,0,0,2.7795673992007,0.10020445884613,0.713770607957667,0.171666086815664,0.58746996540386,0,0.384357312886719,0.1322,0.1991,0,0.1818,0.2361,1.3718,0,1.0989,0.352826020414735,0.72281212219469,0,0.689059816255271
"944","DTOW004",4,1.18540693416178,0.100060419721025,0.395972591553942,1.15164546993068,0.100052605177813,0.421173229527283,0,0,0,1.50485934436035,0.100062718031539,0.428807467875608,0.312089474069402,0.335196683859304,0,0.346409782509207,0.1712,0.1853,0,0.1911,0.556,0.6068,0,0.6069,0.267825314302799,0.279060806255492,0,0.282739184122147
"945","DTOW004",5,0,0,0,10.6617727044679,0.100239604613613,1.45608136895351,0,0,0,10.6617727044679,0.100239604613613,1.45608136895351,0,0.513010742595461,0,0.513010742595461,0,0.2444,0,0.2444,0,1.3259,0,1.3259,0,2.18435609075771,0,2.18435609075771
"946","DTOW004",6,0,0,0,3.42679506955211,0.100059630719163,0.726241394647727,0,0,0,3.42679506955211,0.100059630719163,0.726241394647727,0,0.414805830143519,0,0.414805830143519,0,0.2122,0,0.2122,0,1.0324,0,1.0324,0,0.710844800345135,0,0.710844800345135
"947","DTOW004",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948","DTOW004",8,0,0,0,20.0184818761789,0.100068197210738,1.55160987074218,0,0,0,20.0184818761789,0.100068197210738,1.55160987074218,0,0.571309240660248,0,0.571309240660248,0,0.2137,0,0.2137,0,1.8149,0,1.8149,0,2.55893368715747,0,2.55893368715747
"949","DTOW004",9,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0.491746759894673,0,0.491746759894673,0,0.2197,0,0.2197,0,1.1028,0,1.1028,0,0.644159300813926,0,0.644159300813926
"950","DTOW004",10,0,0,0,8.98958904407943,0.100003994473186,0.962517199967638,0,0,0,8.98958904407943,0.100003994473186,0.962517199967638,0,0.454539768277831,0,0.454539768277831,0,0.195,0,0.195,0,1.1098,0,1.1098,0,1.36802373965122,0,1.36802373965122
"951","DTOW005",1,0,0,0,2.73263376739942,0.100050284876358,0.588087470510102,0,0,0,2.73263376739942,0.100050284876358,0.588087470510102,0,0.326389018979055,0,0.326389018979055,0,0.1883,0,0.1883,0,0.7904,0,0.7904,0,0.582495537047424,0,0.582495537047424
"952","DTOW005",2,2.16688122421277,0.100091387552929,0.355412952518001,1.10945972309337,0.100045022906336,0.308105059366397,0,0,0,2.16688319395762,0.100083365564908,0.401231586542535,0.233708709613315,0.217252574318911,0,0.308295170411853,0.156,0.1499,0,0.1754,0.3881,0.3796,0,0.5357,0.328339123949199,0.229546399931193,0,0.30487826136962
"953","DTOW005",3,1.97633233751156,0.100045759734582,0.223265538822873,2.52195420443875,0.10003751993462,0.497334852502014,0,0,0,2.52267052906839,0.100037519934769,0.463528155440299,0.162134835781136,0.265318061229918,0,0.275058801754084,0.1282,0.159,0,0.1626,0.2052,0.5976,0,0.5683,0.221801218438711,0.531516373926211,0,0.475458789717903
"954","DTOW005",4,0.388639735042288,0.100037147520256,0.200230555745479,0.234189333325143,0.10006467584648,0.166213966965108,0,0,0,0.414188194023811,0.100064675901656,0.190116660432985,0.184764068063661,0.165160838983407,0,0.186008343474006,0.134,0.1303,0,0.1393,0.2544,0.2032,0,0.2278,0.0761459168837296,0.0400058455090498,0,0.0608200269051604
"955","DTOW005",5,0,0,0,10.6617727044679,0.100239604613374,1.74163869080777,0,0,0,10.6617727044679,0.100239604613374,1.74163869080777,0,0.718286977797733,0,0.718286977797733,0,0.282,0,0.282,0,2.0302,0,2.0302,0,2.35610145721916,0,2.35610145721916
"956","DTOW005",6,0,0,0,2.74443511749398,0.100063457866466,0.666940611193207,0,0,0,2.74443511749398,0.100063457866466,0.666940611193207,0,0.439317359201745,0,0.439317359201745,0,0.209,0,0.209,0,0.9411,0,0.9411,0,0.601337741845904,0,0.601337741845904
"957","DTOW005",7,0,0,0,4.21025729476924,0.100029309567619,0.599612857394331,0,0,0,4.21025729476924,0.100029309567619,0.599612857394331,0,0.341388495541879,0,0.341388495541879,0,0.1948,0,0.1948,0,0.6495,0,0.6495,0,0.712746691217848,0,0.712746691217848
"958","DTOW005",8,0,0,0,10.0421915104574,0.100142655556665,1.20825780229242,0,0,0,10.0421915104574,0.100142655556665,1.20825780229242,0,0.539945196738134,0,0.539945196738134,0,0.1969,0,0.1969,0,1.546,0,1.546,0,1.60672222499563,0,1.60672222499563
"959","DTOW005",9,0,0,0,1.09956237047305,0.100056074988244,0.415475783323678,0,0,0,1.09956237047305,0.100056074988244,0.415475783323678,0,0.327479664485219,0,0.327479664485219,0,0.1841,0,0.1841,0,0.6009,0,0.6009,0,0.275081628029861,0,0.275081628029861
"960","DTOW005",10,0,0,0,4.71920959478078,0.100004392979729,0.69268936525847,0,0,0,4.71920959478078,0.100004392979729,0.69268936525847,0,0.442590051215755,0,0.442590051215755,0,0.2244,0,0.2244,0,0.8848,0,0.8848,0,0.698946666352278,0,0.698946666352278
"961","DTOW006",1,0.212430697669902,0.100040523941602,0.14920626678943,3.86111873005919,0.100204367874254,0.767823242264166,0,0,0,3.86111873007,0.100204382942181,0.779353172953011,0.14674306564585,0.488545822592594,0,0.5004218410812,0.121,0.2453,0,0.2502,0.1751,0.9077,0,0.9506,0.0322983780761948,0.807422228198789,0,0.802594901394712
"962","DTOW006",2,1.22297881683303,0.100065095670616,0.279871307433008,3.7943807742347,0.100103831345496,0.507362355020856,0,0,0,3.81699625398852,0.100012690564404,0.600235207846743,0.21775374714107,0.334874958834856,0,0.449656348447647,0.152,0.1861,0,0.2244,0.352,0.5997,0,0.7719,0.181262517369043,0.555053986731663,0,0.560747376037665
"963","DTOW006",3,3.82914398773123,0.100222331576581,0.34607156127713,4.71833030878278,0.100034782119468,0.796204484374112,0,0,0,5.11706244759852,0.100023609045215,0.720216987172332,0.203421566826467,0.434837686131712,0,0.386436818485525,0.1416,0.2046,0,0.1915,0.3581,1.2035,0,0.9653,0.438491268672567,0.797737354936018,0,0.77325893044124
"964","DTOW006",4,1.25699587942026,0.100289024554373,0.41165138336705,5.63750120958076,0.100025230759134,0.804281929059662,0,0,0,5.64013075058588,0.100092578488116,0.853810709577626,0.285117638039229,0.367802742280323,0,0.525281396178646,0.1746,0.1967,0,0.2486,0.5885,0.7914,0,0.9518,0.30558698865828,1.09818868906815,0,1.01574295787798
"965","DTOW006",5,0,0,0,10.6617727044679,0.100333714864251,1.63039062930524,0,0,0,10.6617727044679,0.100333714864251,1.63039062930524,0,0.681196987630396,0,0.681196987630396,0,0.2166,0,0.2166,0,2.0808,0,2.0808,0,2.1987964218952,0,2.1987964218952
"966","DTOW006",6,0,0,0,5.76096351277382,0.100048678868054,0.82885316808257,0,0,0,5.76096351277382,0.100048678868054,0.82885316808257,0,0.513093804222591,0,0.513093804222591,0,0.1946,0,0.1946,0,1.1766,0,1.1766,0,0.856704007928713,0,0.856704007928713
"967","DTOW006",7,0,0,0,2.51180842708374,0.100692092765696,0.594041623724366,0,0,0,2.51180842708374,0.100692092765696,0.594041623724366,0,0.38518325997381,0,0.38518325997381,0,0.2066,0,0.2066,0,0.7816,0,0.7816,0,0.543282123621467,0,0.543282123621467
"968","DTOW006",8,0,0,0,20.0178784371951,0.100023427261638,2.08955110599023,0,0,0,20.0178784371951,0.100023427261638,2.08955110599023,0,0.822789949438573,0,0.822789949438573,0,0.2499,0,0.2499,0,2.7966,0,2.7966,0,2.87193297838884,0,2.87193297838884
"969","DTOW006",9,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0,0,2.51835252592214,0.10060982485898,0.738452347786775,0,0.491746759894673,0,0.491746759894673,0,0.2197,0,0.2197,0,1.1028,0,1.1028,0,0.644159300813926,0,0.644159300813926
"970","DTOW006",10,0,0,0,4.71920791108693,0.100002042724683,0.685922035502215,0,0,0,4.71920791108693,0.100002042724683,0.685922035502215,0,0.431732552768455,0,0.431732552768455,0,0.2205,0,0.2205,0,0.8493,0,0.8493,0,0.70528599816946,0,0.70528599816946
